,Model,rating,user,time_of_review,review,title,user_address,user_type
84,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,1,Flipkart Customer,2months ago,Very bad completely damage when drop from my hand,Useless product,Alwar,Certified Buyer
85,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Rajesh  Sharma,5months ago,wesome phone and the camera was outstanding,Best in the market!,Ludhiana,Certified Buyer
86,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Parmanand Yadav,5months ago,wesome phone love it thks Flipkart .,Terrific purchase,Lucknow,Certified Buyer
87,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,4,Flipkart Customer,6months ago,Best of Beatty backup Camara was Oshawa,Good choice,Sundargarh District,Certified Buyer
88,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,1,Abhishek Dubey,5months ago,Normal,Worthless,Kannauj,Certified Buyer
89,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,4,Vinod  Kumar,1month ago,Nice phone,Good quality product,Ludhiana,Certified Buyer
90,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Muhammad Khwaja,1month ago,Best,Excellent,Balapur Hingoli District,Certified Buyer
91,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Flipkart Customer,3months ago,"Thanks for the Quicker delivery on 23rd Mar 2020, just 2 days before first Lockdown!Quality Product with Nice GUI!Priceworthy!Satisfied!",Classy product,Tirunelveli,Certified Buyer
92,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Flipkart Customer,3months ago,Good,Brilliant,Bankura,Certified Buyer
93,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,2,Sunny,3months ago,Slower than MI phones,Slightly disappointed,Bengaluru,Certified Buyer
94,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,3,Pradip,5months ago,First time I got very bad packing from flipcardMobile is niceBut not value for money that much,Just okay,New Delhi,Certified Buyer
95,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,3,Flipkart Customer,5months ago,Super quality,Does the job,Hyderabad,Certified Buyer
96,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,4,Vikali Chishi,5months ago,xcellent I love dis model,Wonderful,Sarupathar,Certified Buyer
97,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,ARUN PK,5months ago,Nice phone display,Terrific,Kannur District,Certified Buyer
98,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,3,Sanjay  Raut,6months ago,It's goods,Just okay,Nagpur,Certified Buyer
99,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,ralte lalmama,6months ago,best phone in mid range.,Wonderful,Aizawl,Certified Buyer
100,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,4,MADHAV  CHAUHAN,6months ago,Good product,Pretty good,Noida,Certified Buyer
101,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,sanket kumkar  patil,6months ago,good,Simply awesome,Ahmadnagar District,Certified Buyer
102,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Flipkart Customer,6months ago,Best mobile under 15000,Great product,Hassan District,Certified Buyer
103,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Basavaraj Shabadimath,7months ago,nice,Perfect product!,Gadag,Certified Buyer
104,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,3,Rajbhan  Raj,7months ago,camera quality in 48 Mega pixel is very poor .,Decent product,New Delhi,Certified Buyer
105,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Ajinkya Patil,8months ago,very nice product.awsm...,Highly recommended,Aurangabad,Certified Buyer
106,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,1,Rakshith.N.M Rakshi,7months ago,not good,Utterly Disappointed,Kolar,Certified Buyer
